Emp_Type,Job_Title,Company,Date_Posted,Salary_Type,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary
"Permanent, Full Time",Data Scientist - Signal Processing,BIOFOURMIS SINGAPORE PTE. LTD.,Posted 16 Mar 2020,Monthly,2 years  exp,Professional,"Engineering, Healthcare / Pharmaceutical, Information Technology","Master or Ph.D. in Biomedical Engineering, Computer Science, Electrical Engineering or relevant discipline.Possess 2 yearsâ proven working experience in writing high-performance Python code especially on machine learning projects.Familiar with signal/image processing techniques. Understand bio-signals (ECG, PPG, and other types of biomedical/healthcare data) is a plus.Follows good software development practices like version control using git, bitbucket, or other similar tools. Experience in working on Linux is a plus.Excellent written and verbal communication skills. Good team player.",4000.0,6500.0,5250.0
Full Time,Computer Vision / Deep Learning Engineer,BLACK SESAME TECHNOLOGIES (SINGAPORE) PTE. LTD.,Posted 16 Mar 2020,Monthly,4 years  exp,Professional,Engineering,,5000.0,9000.0,7000.0
"Part Time, Full Time",AI Optimization Engineer,BLACK SESAME TECHNOLOGIES (SINGAPORE) PTE. LTD.,Posted 16 Mar 2020,Monthly,2 years  exp,Professional,Engineering,,5000.0,8000.0,6500.0
Full Time,Image Processing  /  Computer Vision Engineer (Senior to Principal level),BLACK SESAME TECHNOLOGIES (SINGAPORE) PTE. LTD.,Posted 16 Mar 2020,Monthly,3 years  exp,Professional,Engineering,,5000.0,8000.0,6500.0
"Permanent, Full Time","Automation Engineer, Java - Backend  /  Workflow  /  UI, Analyst (60932)",GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.,Posted 16 Mar 2020,Monthly,1 year  exp,Junior Executive,Banking and Finance,"Core Java knowledge including experience of developing APIsKnowledge of SDLC practices such as Git, Maven, Mockito, Junit etc.Knowledge of Databases, SQL, No SQL, Big Data etc.Knowledge of Messaging system such as Kafka, Rabbit MQ, Apache Flink etc.Knowledge of frameworks like hibernate, JDBC, Caches etc.Knowledge of wire formats like JSON, XML, Avro etc., Demonstrates strong technical skills required for the role, pays attention to detail, takes initiative to broaden his/her knowledge and demonstrates appropriate technical/analytical skillsDrive and Motivation - Successfully handles multiple tasks, takes initiative to improve his/her own performance, works intensely towards extremely challenging goals and persists in the face of obstacles or setbacksClient and Business Focus - Effectively handles difficult requests, builds trusting, long-term relationships with business users, and manages clients/business expectationsTeamwork â Gives evidence of being a strong team player, collaborates with others within and across teams, encourages other team members to participate and contribute and acknowledges others contributionsCommunication Skills - Communicates what is relevant and important in a clear and concise manner and shares information/new ideas with othersGood to have knowledge on Amazon Cloud development.Ability to integrate with third party tools and frameworks for rapid prototyping and development where applicableProcess engineering - Review processes, evaluate risks and recommend improvements in the current operating procedures",4000.0,8000.0,6000.0
"Permanent, Full Time","Automation Engineer, Java - Backend / Workflow / UI, Associate (60932)",GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.,Posted 16 Mar 2020,Monthly,3 years  exp,Executive,Banking and Finance,"Core Java knowledge including experience of developing APIsKnowledge of SDLC practices such as Git, Maven, Mockito, Junit etc.Knowledge of Databases, SQL, No SQL, Big Data etc.Knowledge of Messaging system such as Kafka, Rabbit MQ, Apache Flink etc.Knowledge of frameworks like hibernate, JDBC, Caches etc.Knowledge of wire formats like JSON, XML, Avro etc., Demonstrates strong technical skills required for the role, pays attention to detail, takes initiative to broaden his/her knowledge and demonstrates appropriate technical/analytical skillsDrive and Motivation - Successfully handles multiple tasks, takes initiative to improve his/her own performance, works intensely towards extremely challenging goals and persists in the face of obstacles or setbacksClient and Business Focus - Effectively handles difficult requests, builds trusting, long-term relationships with business users, and manages clients/business expectationsTeamwork â Gives evidence of being a strong team player, collaborates with others within and across teams, encourages other team members to participate and contribute and acknowledges others contributionsCommunication Skills - Communicates what is relevant and important in a clear and concise manner and shares information/new ideas with othersGood to have knowledge on Amazon Cloud development.Ability to integrate with third party tools and frameworks for rapid prototyping and development where applicableProcess engineering - Review processes, evaluate risks and recommend improvements in the current operating procedures",7500.0,15000.0,11250.0
"Permanent, Full Time","Sequencer Engineer - Equity Accelerate Engineering, Executive Director (59229)",GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.,Posted 16 Mar 2020,Monthly,3 years  exp,Executive,Banking and Finance,"Design, build and maintain a high-performance, high-availability, high-capacity, yet nimble and adaptive platform for transaction cost analytics and execution researchDevelop highly reliable data ingestion processes to consume large volumes of data emitted by trading and market data systems.Design distributed computation infrastructure and libraries to run parallelized queries over large volumes of data.Design, build and maintain applications to monitor performance of trading strategies in relation to the market in real time.Use data to guide decision-making, developing or enhancing tools as necessary to collect it.Communication with traders, sales, clients and compliance officers about new feature requests, explanation of existing features etc., Bachelors or Masterâs degree in computer science or engineering or equivalent experience1 to 2 years of professional experience in a data engineering/analytics rolePrior Experience with Python/Java/Scala based large scale streaming data analytics and storage solutionsStrong knowledge of object oriented programming, data structures, algorithms and design patternsStrong communication skills and the ability to work in a teamStrong analytical and problem solving skillsExperience in data driven performance analysis and optimizations., Experience building streaming data processing and ingestion pipelinesExperience building distributed data processing systems which handle a high volume of client queriesKnowledge and Experience with KDBExperience with Equities transaction and market data, Transaction Cost AnalysisPrior experience building systems used by multiple technical and non-technical teamsOver 3 years experience in Financial industry",7500.0,15000.0,11250.0
"Contract, Full Time",Research Engineer,NATIONAL UNIVERSITY OF SINGAPORE,Posted 16 Mar 2020,Monthly,,Non-executive,"Engineering, Sciences / Laboratory / R&D",,3000.0,4200.0,3600.0
"Contract, Full Time",Postdoctoral Research Fellow,NATIONAL UNIVERSITY OF SINGAPORE,Posted 16 Mar 2020,Monthly,,Non-executive,"Engineering, Sciences / Laboratory / R&D","Applicants should have a PhD degree in structural engineering or related disciplines. Candidates who are currently about to complete their PhDs may also apply. In the interim period before conferment of PhD, the successful applicant may be offered either the position of Research Associate or Research Engineer.Applicants should have fundamental knowledge in fatigue and fracture for metallic materials and structural components (preferably related to the offshore systems).Applicants should have basic knowledge and skills in applying and developing machine learning algorithms.Applicants should have laboratory experience in designing, conducting and instrumenting both the material specimens and large-scale structural specimens.Applicants should also have the basic knowledge and skills for nonlinear finite element analysis.Applicants should be able to converse well in English (both oral and written).",4200.0,5500.0,4850.0
Full Time,Data Engineer (Data Platform),LIBERTY WIRELESS PTE. LTD.,Posted 16 Mar 2020,Monthly,1 year  exp,Executive,Engineering,"Own - All Things Data.Design, develop and implement Big Data platforms using Cloud architectureSetting up a central data platform where all our data will feed inSetting up tools for capturing data from various sources into the central data warehouseUtilize state-of-the-art methods for data processing & analysis.Working with open source tech, 1 ~ 3 years of relevant experience with excellent coding skills in (Python, Java or Scala)Bachelors or Masters degree in Computer Science, Engineering, or relevant industry experience or equivalent is required.Knowledge with Big Data technologies (such as Hadoop, Spark, Kafka, Cassandra, Hive/Pig, and Java/MapReduce), tuning, troubleshooting and scaling these big data technologies, where having a curiosity with the internal workings of these systems is key to being successful.Experience with SQL Database and NoSQL databases, such as CouchDB, MongoDB, Cassandra, HBase, DynamoDBWorking experience in data ingestion pipelines (sqoop)Working experience in Bash and Linux Environments, Exposure in building real-time processing pipelines using Spark-streaming or FlinkExposure to data and machine learning services from Azure, Amazon Web Services (AWS), and/or Google Cloud a plusExperience with orchestration tools like AirflowExperience in Data Warehouse solutions like Redshift, SnowflakeExposure to data visualization tools a plus (Tableau, Looker, Metabase etc.)",5600.0,7400.0,6500.0
Full Time,GLOBAL CONSUMER MARKET INSIGHT MANAGER,GLAXOSMITHKLINE PTE LTD,Posted 16 Mar 2020,Monthly,7 years  exp,Professional,Information Technology,,10000.0,15000.0,12500.0
"Contract, Full Time","Scientist, IME",A*STAR RESEARCH ENTITIES,Posted 15 Mar 2020,Monthly,3 years  exp,Professional,Sciences / Laboratory / R&D,,5500.0,11000.0,8250.0
Permanent,Data Scientist 005,U3 INFOTECH PTE. LTD.,Posted 15 Mar 2020,Monthly,4 years  exp,Professional,Consulting,,8000.0,10000.0,9000.0
Full Time,Robotics Software Engineer (Localisation),MOVEL AI PTE. LTD.,Posted 15 Mar 2020,Monthly,3 years  exp,Professional,Information Technology,"Improve localisation/perception stackIncrease robustness of localisation given different situations (i.e Night/Day, Dynamic/Static environments)Have domain knowledge in one or more of the following sensors to test, evaluate, debug and install; IMU, Camera, Lidar, Sonar, Wheel Encoders.Filtering / Merging / Clean / Parse sensor data., C++ and/or PythonSLAM and/or VSLAMProficiency in LinuxIdentifying failure scenarios on algorithmsTesting methodology and data collection, Knowledge of Robot Operating System (ROS)PCL and/or OpenCV and/or Boost/EigenExperience with Unit Testing Frameworks.Experience with OpenCLExperience with Machine Learning/Deep Learning.CUDA programmingPose Estimation, Object/Scene/Text recognition.Familiarity with open-source numerical linear algebra, sparse linear algebra, and physics simulation libraries.Excellent knowledge of linear algebra and mathematical optimization., PCL and/or OpenCV and/or Boost/EigenExperience with Unit Testing Frameworks.Experience with OpenCLExperience with Machine Learning/Deep Learning.CUDA programmingPose Estimation, Object/Scene/Text recognition.Familiarity with open-source numerical linear algebra, sparse linear algebra, and physics simulation libraries.Excellent knowledge of linear algebra and mathematical optimization.",3500.0,6000.0,4750.0
Full Time,Machine Learning Engineer (Computer Vision),GOOD FOR FOOD PTE. LTD.,Posted 13 Mar 2020,Monthly,2 years  exp,Executive,"Engineering, Information Technology",,4000.0,5200.0,4600.0
"Contract, Full Time","Scientist (Robotics & Autonomous Systems), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Research and development of methods for mobile loco-manipulation, dexterous manipulation, and human-robot collaboration in real-world applications.Closely collaborate with other researchers to conduct research in tactile-aided dexterous manipulation based on deep/reinforcement/machine learning.System integration to deliver functioning modules on a multi-limb centaur-like robot, aircraft inspection,  or other mobile manipulator platforms.Work within a team in testing, experimenting, and troubleshooting robotic systems during laboratory tests and real-world trial deployments.Write and present scientific research papers and technology disclosures on research developments and outcome.PhD in Computer Science or Robotics or related Engineering fieldsMinimum 2 Years of experience; Fresh PhD graduates who worked on closely related areas are also welcome to applyProven ability to carry out excellent scientific research in mobile manipulation, dexterous manipulation, human-robot collaboration, or related areas, evidenced by publications.Experience in machine/deep/reinforcement learning will be a plus.Proficient in programming (C/C++, Python).Extensive hands-on experience with implementations on real robots.Experience with ROS, Gazebo, Moveit!, OpenRave, or other motion planning frameworks.Experience with Tensorflow, Keras, OpenAI Gym, PyTorch, or other machine learning tools will be advantageous.Good analytical skills, innovativeness and problem solving skills demonstrated in past or current robotics-related projects.Good interpersonal, presentation and communication skills.",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Human Language Technologies), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Ph.D degree in Computer Science, Electrical/Computer Engineering or other related fieldsExperience with Deep Learning approaches and platforms (Tensorflow/Pytorch)Knowledge of Machine Learning and Natural Language Processing theory and applicationsFamiliar with problems related to natural language understanding and machine translation as well as with state-of-the-art methods and approaches to tackle these problems and the available tools commonly used for implementation purposesProficiency in at least one programming language (Python)Passionate for research and development work",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Robotics & Autonomous Systems), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,"Information Technology, Sciences / Laboratory / R&D","Research and development of multimodal compliant interaction & control strategy on robot with application of machine learning to enhance performanceSystem integration to deliver functioning modules in a collaborative robot environmentActively collaborate with other researchers in scientific writing, testing, experimentations, and trouble-shootings the robots during testing and real-world trial deploymentsClosely collaborate with other researchers to conduct research on robotic affordance understanding, grasping and perception, including tactile perception technology to create new robotic capabilitiesRealisation of algorithms developed into computational footprints that are suitable for deployment in robots, including optimizing the algorithms to allow for real time processing or deployment in an embedded processorSupport the research and development activities of the Department in robot learning and dexterity, PhD in Computer Science or Electrical, Electronics, Computer, Mechanical or Mechatronics EngineeringBackground in relevant robotics and/or machine learning fieldProficient in programming skills (C/C++ and/or Python)Strong research track recordGood analytical skills, innovative and proven track record in solving problems encountered in projects that are relevant to roboticsGood interpersonal, presentation and communication skills",4500.0,9000.0,6750.0
"Part Time, Full Time",Senior Backend Engineer,SNAPHUNT PTE. LTD.,Posted 13 Mar 2020,Monthly,3 years  exp,Senior Executive,Information Technology,"Ensuring the development of well-designed and testable code.Gathering and evaluating user feedback.Providing code documentation and other inputs to technical documents.Supporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural review.Troubleshooting and debugging to optimise performance.Developing high-quality code to build and deploy machine learning models., We are looking for a solid Senior Backend Engineer with strong e strong knowledge of Node.js, MongoDB as well as prior exposure to machine learning.You work well in fast paced startup environmentsYou are a problem solver and enjoy developing smart, elegant solutions to user problemsYou enjoy working on a variety of projects and continuously learningYou are a good coach and subject matter expert and like to provide support and guidance to junior software engineers.",5000.0,8000.0,6500.0
Full Time,Sr Solutions Advisor,JDA SOFTWARE ASIA PTE. LTD.,Posted 13 Mar 2020,Monthly,5 years  exp,Executive,"Information Technology, Logistics / Supply Chain",,12000.0,18000.0,15000.0
"Contract, Full Time","Scientist (Robotics & Autonomous Systems), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Research and development of drone control, motion planning, obstacle detection and avoidance using camera and/or lidar and coordination between drone and ground robotAlgorithm development, testing and system integration to deliver functioning modules in a commercial drone for various real world applicationsActively collaborate with other researchers in scientific writing, testing, experimentations, and trouble-shootings the system during testing and real-world trial deploymentsRealisation of algorithms developed into computational footprints that are suitable for deployment in drones and robots, including optimizing the algorithms to allow for real time processing, PhD in Mechanical, Electrical, or Computer Science/Engineering, Machine Learning or related fieldsMinimum 1 yearâs hands-on experience in autonomous drone related research and developmentStrong software development skills in C/C++, PythonGood knowledge on ROS, Linux and/or DDS related middlewareFamiliarity with drone control, motion planning and emerging navigation works using lidar and/or vision for drone in unstructured environment in advantageousExperience in Machine Learning for motion planning is usefulGood communication skills, team player and resourceful",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Visual Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Develop visual analysis methods and algorithms to detect, track and count individual schools of moving fish from both above- and under-water videos;Develop 3D vision algorithms to estimate the volume of individual schools of moving fish from both above- and under-water videos;Develop methods and algorithms to model, identify and classify fish swimming (both individual and group) behaviour from multi-view videos with potentially few labelled data;Develop advanced regression methods link fish swimming behaviour with other parameters, such as feeding amount, fish volume, etc.Collaborate with other team members for the best outcome of the research, PhD in Computer Science/ Engineering, Automation, Mathematics or StatisticsFresh PhD graduates are welcomed to applyFamiliar with Computer vision, Computer graphics, image/ video processing, Machine Learning tools e.g. Tensor flowProficient in Computer Programming",4500.0,9000.0,6750.0
"Contract, Full Time","Research Engineer (Cybersecurity), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Minimum Bachelor degree in the field of computer science, computer engineering, mathematics and statistics or electrical engineering.Knowledge or experience in cyber security, network security, system security and system integration.Experience in hackathons and/or ethical hacking is a huge plus.Ability to work independently to translate research ideas into programs using industry standard coding practices.Proficient in Python, C or Java.Basic knowledge on data analytics and machine learning.Able to deliver under tight schedule.Good team player with both research and engineering ethics.Good interpersonal and communication skills.",3900.0,7800.0,5850.0
"Contract, Full Time","Research Engineer (Cybersecurity), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Bachelor degree in the field of computer science, computer engineering, mathematics and statistics or electrical engineering.Knowledge or experience in cyber security, network security, system security and system integration.Experience in hackathons and/or ethical hacking is a huge plus.Ability to work independently to translate research ideas into programs using industry standard coding practices.Proficient in Python, C or Java.Basic knowledge on data analytics and machine learning.Able to deliver under tight schedule.Good team player with both research and engineering ethics.Good interpersonal and communication skills., Ability to learnWillingness to learnInterest in cyber-security domain.",3000.0,5500.0,4250.0
"Contract, Full Time",Scientist (Cognitive Systems & AI Security),FRAUNHOFER SINGAPORE RESEARCH LTD.,Posted 13 Mar 2020,Monthly,5 years  exp,Professional,Sciences / Laboratory / R&D,,4000.0,8500.0,6250.0
"Contract, Full Time","Scientist (Aural Language Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"PhD in Computer Engineering, Computer Science, Machine LearningProficient in Python/ MATLAB/ C++ programming/ JAVAKnowledgeable in ASR and/ or Deep LearningTeam spirit and problem-solving abilityExcellent verbal and written communication skillsGood track of scientific publication in international journals and peer-review conferences",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Aural Language Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"PhD in Computer Engineering, Computer Science, Machine LearningProficient in Python/ MATLAB/ C++ programmingKnowledgeable in ASR and/ or Deep LearningTeam spirit and problem-solving abilityExcellent verbal and written communication skillsGood track of scientific publication in international journals and peer-review conferences",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Data Analytics), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Deliver results: Develop new technologies, improve performanceDemonstrate long-term vision, while effectively supporting short-term goals, PhD in computer science or related topicsBeing an excellent team playerGood interpersonal and communication skills",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Data Analytics), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Deliver results: Develop new technologies, improve performanceDemonstrate long-term vision, while effectively supporting short-term goalsPhD in Computer Science or other related fieldsBeing an excellent team playerGood interpersonal and communication skills",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Cybersecurity), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,"Engineering, Information Technology, Sciences / Laboratory / R&D","Ability to learnWillingness to learnStrong interest in cybersecurity domain, Minimum PhD degree in Information Security, Cybersecurity or related fields.Knowledge and/or work experience in cybersecurity, such as network security, system security, malware research, cryptography, forensics, etc.Ability to conduct independent research and publish in top conferences and journals.Proficient in Python, C or Java.Knowledge on data analytics, machine learning and deep learning is a huge plus.Industry certifications in cybersecurity and project management is a huge plus (e.g. CISSP, OSCP, CEH, PMP).Experience in hackathons and/or ethical hacking is beneficial.Good team player with both research and engineering ethics.Good interpersonal and communication skills.",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Cyber Security & Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,"Engineering, Information Technology, Sciences / Laboratory / R&D","Ability to learnWillingness to learnStrong interest in cybersecurity domain, Minimum PhD degree in Information Security, Cybersecurity or related fields.Knowledge and/or work experience in cybersecurity, such as network security, system security, malware research, cryptography, forensics, etc.Ability to conduct independent research and publish in top conferences and journals.Proficient in Python, C or Java.Knowledge on data analytics, machine learning and deep learning is a huge plus.Industry certifications in cybersecurity and project management is a huge plus (e.g. CISSP, OSCP, CEH, PMP).Experience in hackathons and/or ethical hacking is beneficial.Good team player with both research and engineering ethics.Good interpersonal and communication skills.",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist(Cyber Security & Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Ability to learnWillingness to learnStrong interest in cybersecurity domain, Minimum PhD degree in Information Security, Cybersecurity or related fields.Knowledge and/or work experience in cybersecurity, such as network security, system security, malware research, cryptography, forensics, etc.Ability to conduct independent research and publish in top conferences and journals.Proficient in Python, C or Java.Knowledge on data analytics, machine learning and deep learning is a huge plus.Industry certifications in cybersecurity and project management is a huge plus (e.g. CISSP, OSCP, CEH, PMP).Experience in hackathons and/or ethical hacking is beneficial.Good team player with both research and engineering ethics.Good interpersonal and communication skills.",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Dialogue Technology), Aural & Language Intelligence, I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,3 years  exp,Professional,Sciences / Laboratory / R&D,"PhD in Computer Science, Electrical/Computer Engineering3 year experiences in NLP technologies and Dialogue technology or PhD thesis on dialogue related technologyExperience with Deep Learning approaches and platforms (Tensorflow/ FYIorch/ CNTK)Knowledge of Machine Learning and Natural Language Processing theory and applicationsFamiliar with problems related to natural language understanding, dialogue systems and state-of-the-art methods and approaches to tackle these problemsGood track of scientific publications in international journals and peer reviewed conferences",5900.0,11800.0,8850.0
"Contract, Full Time",Scientist (Secure AI & Neuromorphic Systems),FRAUNHOFER SINGAPORE RESEARCH LTD.,Posted 13 Mar 2020,Monthly,5 years  exp,Professional,"Information Technology, Sciences / Laboratory / R&D",,4000.0,8500.0,6250.0
"Permanent, Full Time",Senior Data Scientist / Team Lead,SNAPHUNT PTE. LTD.,Posted 13 Mar 2020,Monthly,5 years  exp,Senior Executive,Information Technology,"Help define how people find jobs and get hired as roles change in the coming decadeBuild and lead a best in class data teamLeadership Role, Developing models and algorithms to enhance specialist hiring on SnaphuntDesigning, implementing and maintaining a robust data infrastructureBuilding model prototypes using proven and experimental techniquesDefining hypothesis and executing experiments to prove/disprove them, You possess an advanced degree in Computer Science, Applied Mathematics, Engineering or related field.You have at least 5 years experience as a Data Scientist and have good experience in machine learning and deep learningYou are proficient in R, Python or ScalaYou have solid knowledge of ML algorithms and experience using ML frameworksYou are a problem solver who thrives on solving complex problems using dataYou are a strong mentor and coach who can build high performing teams",6000.0,12000.0,9000.0
Full Time,Senior Data Engineer (Data Platform),LIBERTY WIRELESS PTE. LTD.,Posted 13 Mar 2020,Monthly,3 years  exp,Senior Executive,Engineering,"Own - All Things Data.Design, develop and implement Big Data platforms using Cloud architectureSetting up a central data platform where all our data will feed inSetting up tools for capturing data from various sources into the central data warehouseUtilize state-of-the-art methods for data processing & analysis.Working with open source tech, 4 ~ 6 years of relevant experience with excellent coding skills in (Python, Java or Scala)Bachelors or Masters degree in Computer Science, Engineering, or relevant industry experience or equivalent is required.Knowledge with Big Data technologies (such as Hadoop, Spark, Kafka, Cassandra, Hive/Pig, and Java/MapReduce), tuning, troubleshooting and scaling these big data technologies, where having a curiosity with the internal workings of these systems is key to being successful.Experience with SQL Database and NoSQL databases, such as CouchDB, MongoDB, Cassandra, HBase, DynamoDBExperience in building real-time processing pipelines using Spark-streaming or FlinkWorking experience in data ingestion pipelineWorking experience in Bash and Linux Environments, Exposure to data and machine learning services from Azure, Amazon Web Services (AWS), and/or Google Cloud a plusExperience with orchestration tools like AirflowExperience in Data Warehouse solutions like Redshift, SnowflakeExposure to data visualization tools a plus (Tableau, Looker, Metabase etc.)",7000.0,8500.0,7750.0
"Contract, Full Time","Scientist (Visual Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Develop methods and algorithms to reconstruct 3D fine-scale dense face reconstruction from multi-view images and videos, robust to occlusions and out-of-plane rotationsDevelop advanced 3D face alignment and registration methods for group-wise, unbiased and multi-scale 3D modellingExplore data augmentation and domain adaptation for 3D face synthesis and identification with few shot and few labelled dataClassify and discriminate 3D face mesh data in fine detailsCollaborate with other team members for the best outcome of the research, PhD in Computer Science/ Engineering, Automation, Mathematics or StatisticsFresh PhD graduates are welcomed to applyFamiliar with Computer Vision especially 3D reconstruction, 3D modelling and synthesis, Machine LearningProficient in Computer Programming",4500.0,9000.0,6750.0
Permanent,Robotics Software Engineer,OTSAW DIGITAL PTE. LTD.,Posted 13 Mar 2020,Monthly,2 years  exp,Executive,Engineering,"Develop software system for localization, object detection & tracking, control of the robotIn charge one of the following domains:Computer Vision algorithm â object detection & classification, lane trackingLocalization algorithm based on Lidar, Camera, GPSBuild tiles & vector map to support localization, path plannerSensor fusion algorithm for reliable, precise localization, object trackingEmbedded System â low level interfacing with sensors, actuatorsModel robot control system, low-level motion planning algorithmBehavior planning â path planning & mission controlSimulation â for testing of robot behavior & path planner, Min. education qualification in Bachelor Degree in Robotics Engineer or other Engineering related courseStrong theoretical & practical experience in developing perception and/or control algorithmDemonstrate deep interest & understanding in relevant domain of interestExperience in developing on actual physical robotExperience in C++, Python, ROS, Git",4000.0,7800.0,5900.0
"Contract, Full Time","Research Engineer (Natural Language Processing), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,1 year  exp,Professional,Sciences / Laboratory / R&D,"Minimum Bachelor in Computer Science, Computer Engineering or related fields1-year prior experience on natural language processing / text processing /machine learning is preferredProficient in at least one of the following programming language: Python, Java or C++Possess good communication and interpersonal skills",3000.0,5500.0,4250.0
"Contract, Full Time","Senior /  Research Engineer (Cyber Security & Intelligence), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,"Engineering, Information Technology, Sciences / Laboratory / R&D","Ability to learnWillingness to learnStrong interest in cybersecurity domain, Minimum Bachelor degree in the field of Computer Science, Computer Engineering, Mathematics and Statistics, Electrical Engineering, or related fields.Knowledge and/or experience in cybersecurity, network security, system security and system integration.Experience in hackathons and/or ethical hacking is a huge plus.Industry certifications in cybersecurity and project management is a huge plus (e.g. CISSP, OSCP, CEH, PMP).Knowledge on data analytics and machine learning is beneficial.Ability to work independently to translate research ideas into programs using industry standard coding practices.Proficient in Python, C or Java.Good team player with both research and engineering ethics.Good interpersonal and communication skills.",3000.0,5500.0,4250.0
"Contract, Full Time","Scientist (Human Language Technologies), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"PhD in Computer Science, Computer Engineering, Mathematics or Electrical Engineering or other related fieldsRelevant experience in one or more of the research areas: natural language, processing/understanding, knowledge graphs, abductive reasoningQuick learner and willing to acquire the necessary knowledge to perform dutiesAbility to innovate and develop prototypes to demonstrate the feasibility of research ideasSolid programming skills in one or more of the following languages: Python, Java, C#, C++Proficient in spoken and written EnglishGood communication skills for reports and publicationPrior experience with question answering is a plus",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Natural Language Processing), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,4 years  exp,Professional,Sciences / Laboratory / R&D,"PhD in Computer Science, Computer Engineering or related fieldsPossess minimum 4 years prior experience on natural language processing/ text processing/ machine learning is preferredEntry level candidates with relevant experience may applyProficient in at least one programming language: Java, C++ and PythonGood communication and interpersonal skills",4500.0,9000.0,6750.0
"Contract, Full Time","Scientist (Acoustics, Speech and Language), I2R",A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"PhD in Computer Science, Information Technology or related areasProficiency in at least one programming language (Python/C++/Java)Experience with Deep Neural Network approaches and platforms (Tensorflow/Pytorch/CNTK)Knowledge of Machine Learning and Natural Language Processing theory and applicationsTeam spirit and problem solving abilityExcellent verbal and written communication skillsGood track of scientific publications in International journals and Peer-review Conferences",4500.0,9000.0,6750.0
"Contract, Full Time",Research Fellow (Bioinformatician) (SIgN),A*STAR RESEARCH ENTITIES,Posted 13 Mar 2020,Monthly,2 years  exp,Professional,Sciences / Laboratory / R&D,"PhD  in any of computational biology, bioinformatics, biostatistics, computer  science/engineering, mathematics or related fields2  years of relevant experienceProgramming  skills using any of R/python/perl/shell script/C++/Matlab/Java or  similarExperience  in analysis of NGS, or single-cell RNA-seq data  (preferred)Possess  machine learning and AI background an added advantageExperience  in data management, database design and implementation an added  advantage",4500.0,9000.0,6750.0
