Emp_Type,Job_Title,Company,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Cat_num
Permanent,Security Analyst,NTT DATA SERVICES SINGAPORE PTE. LTD.,5 years  exp,Professional,Information Technology,    ,6000.0,7000.0,6500.0,0
Permanent,Data Analytics Lead,GOVERNMENT TECHNOLOGY AGENCY,,Manager,"Information Technology, Public , Civil Service","   Chart and drive the data analytics strategy at Enterprise Singapore, Work closely with stakeholders to understand their needs, scope the problems and develop business case to operationalize insights from data, Guide a team of data scientists to perform data cleaning, pre-processing, feature engineering and build relevant models to conduct meaningful analysis, Depending on the required business needs, designing of dashboards and interactive visualization as tools for data exploration may be expected, and; Potentially deployed to other public agencies to be their Data Analyst Lead, which would involve leading a data analytics team and driving the data science culture within the agency. ,  Bachelor degree in Computer Science, Statistics, Economics, Quantitative Social Science or related degrees. Advanced degrees preferred. We will also factor in relevant certifications, e.g. Coursera, Minimally 5 years of relevant working experience, preferably in public sector or data science field, Experience in leading a data science team, and implementing domain-specific analytics project is a plus, Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges, Understand key concepts, techniques and considerations in machine learning and data analytics, Training and relevant experience in one or more of the following areas:  Data science tools such as R, Python Visual analytics technologies like Tableau, Qlik   Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders, Team player with strong organization and people management skills, and; Passion for the use of analytics and data to improve public service. ,  Data science tools such as R, Python Visual analytics technologies like Tableau, Qlik   ",5000.0,14000.0,9500.0,2
Permanent,Data Scientist,GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,"Information Technology, Public , Civil Service","   Work closely with stakeholders to understand their needs/pain points, scope the problem and develop business case on how to turn data into critical information and knowledge that are actionable, to be used for policy making, streamlining operations or developing solutions for citizens.  Perform data cleaning, pre-processing, feature engineering and build relevant models to conduct meaningful analysis. Know which visualisation technique is appropriate to communicate the insight effectively. Iterate with the stakeholders to perform subsequent deep dives based on the initial insights. Depending on the required business needs, design of dashboards and interactive visualisation as tools for data exploration as well as for storytelling may be expected.  Potentially deployed to other Government Agencies to be their resident Data Scientist. This will involve executing data analytics projects for the Agency, as well as providing data analytics consulting services to the Agency, which could include providing advice on how to structure analytics teams in the Agency, data analytics visioning, planning and implementation strategies to build strong pipeline of impactful projects ,  Bachelor Degree in Computer Science, Statistics, Economics, Quantitative Social Science, or related degrees. We will also factor in relevant certifications (e.g., Coursera) Minimum 2 years of relevant working experience, preferably in public sector or data science field Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges Understand key concepts, techniques and considerations in machine learning and data analytics Training and relevant experience in one or more of the following areas:  Data science tools such as R, Python Visual analytics technologies like Tableau, Qlik   Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders Strong analytical, conceptualisation and problem solving skills Team player with strong organisation and people handling skills Passion for the use of analytics and data to improve Public Service ,  Data science tools such as R, Python Visual analytics technologies like Tableau, Qlik   ",5000.0,9000.0,7000.0,2
Permanent,"Data Scientist, Artificial Intelligence Platforms",GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,"Information Technology, Public , Civil Service","    Improve public service delivery and policy by extracting insights from government data   Work closely with product managers, data scientists and engineers to develop, test and deploy new data products   Write production-quality code and work with engineers to put models into operation   Learn new things and impart knowledge with other team members in a multi-disciplinary team  ,   Rapid Prototyping - Instead of spending too much time debating ideas we prefer testing them. This identifies potential problems quickly, and more importantly, conveys what is possible to others easily.   Ownership - In addition to technical responsibilities, this means having opinions on what is being done and having ideas on what should be done next. Building something that you believe in is the best way to build something good.   Continuous Learning - Working on new ideas often means not fully understanding what you are working on. Taking time to learn new architectures, frameworks, technologies, and even languages is not just encouraged but essential.  ,   Applicants that are well-versed in Python, JavaScript and Scala will be appreciated but it is not mandatory. Proficiency in at least one language and the ability to learn is what matters to us.   Applicants that have experience in working with data and machine learning to solve problems   Applicants that have demonstrated the ability to build software write code to solve abstract problems    Applicants that take the initiative to make things happen and able to reason about code with other engineers   Applicants that would want to work for the good of the public    ",6000.0,11000.0,8500.0,2
Permanent,Data Scientist (Human Capital),GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,"Information Technology, Public , Civil Service","   Consult with HR and organizational partners to identify business problems Extract and interpret large data sets from HR Centers of Excellence using complex data analysis Design holistic analytical reports, articulating and transforming them into actionable people insights for key HR stakeholders Level-up analytical capabilities for POG by enhancing intellectual programming analytics through integrating current and new HR systems and technologies Participate in data science studies and projects to discover new analytics technologies ,  At least 2 years of professional experience in data science, business analytics or a related field In-depth knowledge of basic data science concepts (e.g. machine-learning algorithms, natural language processing, business application of statistics) Technical expertise in data analysis technologies (e.g. Tableau, Python, R, SAS) and database development tools (e.g. SQL, Hadoop) Excellent communication (written and verbal) and stakeholder-management skills Self-starter and passionate in data analysis   ",5000.0,8000.0,6500.0,2
Permanent,"DevOps Engineer, Artificial Intelligence Platforms",GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,"Information Technology, Public , Civil Service","   Managing the development, deployment, orchestration and maintenance of data pipelines for our Data Science products Providing DevOps architecture implementation and operational support Architecture and planning for cloud deployments (Private and Public cloud) Developing and managing processes, automation, best practices, documentation Development and operation of continuous integration and deployment pipelines.  ,  Effectively prioritise and execute tasks in a high-pressure environment  Develop and maintain internal engineering productivity tools and environments Perform independent research into product and environment issues as required  Monitoring automation to effectively detect/predict/prevent issues in the environment and code base Future-proofing the technical environments and ensuring extreme high levels of automation, availability, scalability and resilience Hands-on coding and mentoring, working in highly collaborative teams and building quality environments Have knowledge in and/or continuously learn lots of different open source technologies and configurations ,  Excellent problem solving and methodical troubleshooting skills Strong knowledge and experience in DevOps automation, containerisation and orchestration using tools eg. Ansible, Airflow, Docker, Kubernetes, Terraform, Artifactory/Nexus Sonatype Cloud computing deployment and management experience in AWS, GCP Strong scripting skills e.g. Python, Bash, JavaScript, Scala, Rust, Go Strong understanding of Apache Spark/Flink, Hadoop, distributed file systems and resource scaling/scheduling, streaming message queues (RabbitMQ, Kafka) Strong understanding of virtualization and networking concepts Experience with patch maintenance, regression testing and security incident response Experience with interactive workloads, machine learning toolkits and how they integrate with cloud computing e.g. Databricks, KX Experience with highly scalable distributed systems Experience with on-premise deployments, government application and networking infrastructure/routing Breadth of knowledge - OS, networking, distributed computing, cloud computing   ",5000.0,8500.0,6750.0,2
Permanent,IoT Vulnerability Researcher,SECURITY TECHNOLOGIES AND ADVANCED RESEARCH LABS PTE. LTD.,1 year  exp,Junior Executive,Engineering,"   Reverse engineering of circuits Identify debug interfaces and components on boards Extract firmware from black box hardware Back your findings with Proof-of-concept exploits Collect evidence and maintain a detailed write-up of the findings Explain and demonstrate vulnerabilities to system owners Provide appropriate remediation and mitigations of the identified vulnerabilities Individually or collaboratively review the system designs, source code, configurations, communications for security gaps Sharpen your saw with continuous research, learning, training on the latest tools and techniques, keeping up with new research and sharing the same with the ecosystem Communicate well using verbal and written skills, within and out of the team   ",4800.0,5500.0,5150.0,0
Permanent,"IT Engineer, Manufacturing System",TALENT SEARCH PTE. LTD.,5 years  exp,Senior Executive,"Engineering, Information Technology","   Work with manufacturing on machine to machine integration to enable IoT functionality & customers accessability Engage with cross functional team (global and local) and IT infrastructure team to identify IoT / digitalization platform amongst the manufacturing operations from mapping to prototyping to realization Work with end users to integrate MES, map out process workflow to enable digitalization goals Provide support to Client Windows OS, Office Applications and IT related support Responsible for WAN support and cascading IT communication for 3 sites locally Seek continuous improvement in area of accountability ,  Degree in Information Technology / Computer Studies or equivalent in Engineering qualification 3 years of working experience as an IT Engineer supporting manufacturing system Knowledge in ITIL process and project management Knowledge on machine to machine communication protocols such as OPC UA, MQTT Experience working on MES system to enable IoT connectivity Knowledge of SAP would be a big plus   ",4500.0,5500.0,5000.0,1
Permanent,Sr. Solutions Advisor,JDA SOFTWARE ASIA PTE. LTD.,5 years  exp,Executive,"Information Technology, Logistics , Supply Chain",    ,12000.0,18000.0,15000.0,2
Permanent,Associate Engagement Manager ,INFOSYS LIMITED SINGAPORE BRANCH,12 years  exp,Professional,Information Technology,    ,9000.0,12000.0,10500.0,0
Permanent,Senior Test Engineer (Networking) - Ref: iDirectAsia / QE / 01 (0453),ST ELECTRONICS (SATCOM & SENSOR SYSTEMS) PTE. LTD.,5 years  exp,Senior Executive,"Engineering, Information Technology, Telecommunications","   Design, develop, and document comprehensive test plans for iDirect products. Coordinate and participate in use case testing activities including test-planning, execution, and reporting Perform setup of network and test scenarios, both hardware and software components, and perform troubleshooting as needed. Collaborate with software developers in scrum team to execute acceptance tests and write auto test units Evaluate and recommend third-party test tools and other software/hardware products to aid in the system test effort. Attend and participate in system-level design meetings in order to address testing issues early in the software development process. Create testing tools and scripts as needed Provide training, documentation and support as required to operations staff. Other duties as assigned. ,  Degree of Computer Science, Computer Engineering or electrical engineering Experience with IP Networking protocols and standards Knowledge of TCP/IP, UDP, sockets, etc. and experience in network performance testing Experience with IP router performance test tools such as Spirent, NetIQ Chariot, ixload etc. Experience writing Linux shell scripts Ability to independently setup, troubleshoot and debug networks Experience developing and maintaining comprehensive system test plans Experience in writing google unit test, python in robot framework CCNA, CCNP, or other advanced Cisco certification is preferred Background in RF/ Satellite communication concepts is a bonus   ",4500.0,7000.0,5750.0,2
Permanent,Medical Science Liaison â Asia South,CSL BEHRING PTE. LTD.,,Executive,"Healthcare , Pharmaceutical","   Role   that this position reports to: Associate   Director, Medical Affairs, Asia South No direct reports ,  Work collaboratively and proactively with the   Asia South medical and marketing teams to develop strategic medical,   scientific and relationship management plans that align with business   objectives Medical input into key cross-functional   groups (including but not   limited to): Regulatory; Clinical Safety; Clinical R&D, etc for successful development and life cycle   management of products.  ,  Provide   a high quality single point of contact for scientific interaction between   external experts / HCPâs and CSL Behring; Provide   and/or present field observations and insights to internal stakeholder Interact   responsibly and within MA guidelines (and/or   relevant Country Codes) with targeted health care professionals, professional   associations and other key stakeholders. Respond   to requests for scientific and medical information in a comprehensive, timely   and customer focused manner; Educate   and communicate clinical value, outcomes, and economic data to payers,   providers, key stakeholders, advocacy, and access enablers Actively   drive Scientific Advisory Board meetings to ensure knowledge transfer, foster   External Expert (EE) relationships, ensure scientific understanding to enhance the   understanding of the disease, therapeutic area and treatment choices; Actively   participate in Scientific and Medical symposia. Assist with development of   CSL Behring sponsored programs; Facilitate   consideration of proposals for collaborative/ investigator initiated studies; Facilitate   site feasibility assessments Assist   with publication planning and presentations of data at medical &   scientific meetings. Appropriately understand the clinical gaps that would   facilitate the development of new therapeutic agents/indications; Be a   medical/scientific interface with key stakeholders in dealing with product   related issues. ,  Identify,   develop, and maintain collaborative relationships with current and future   thought leaders Ensure   development plans are initiated and actively managed for identified EEs; Facilitate   speaker development and involvement locally and internationally; Ensure   appropriate EE development through   participation in clinical trials; Ensure   communications are tracked in appropriate systems to ensure CSL Behring is   compliant with good governance and transparency regulations. ,  Develop and maintain extensive knowledge of   the designated therapeutic area pipeline and the competitive landscape; Be considered a field-based expert by   internal & external customers; and Disseminate knowledge and share information   as appropriate (within compliance   regulations), including through internal and external presentations; Facilitate training and education of relevant   stakeholders. Contribute to data gap/insights, and data generation   activities Ability   to be a part of the review and approval process for materials (as required). ,  Prior Pharmaceutical or Biotech industry experience (medical, clinical or specialty products expertise) Ability to apply and leverage scientific and medical knowledge is essential, especially in the clinical setting Experience in therapy area is desirable (especially Immunology, Hemo-Oncology,   critical care etc) Excellent presentation, interpersonal and communication skills Familiar with data generation/ clinical trial processes Demonstrated ability to manage relationships with external experts Demonstrated business planning ability and strong organizational skills Demonstrated innovative thinking Demonstrated working knowledge of regulations governing information provision/interactions with customers within the   pharmaceutical industry and in Asia South Countries Strong medical governance capabilities. ,  Ability to work independently & be self-motivating Good communication skills (including presentation skills) Strong ability to interpret scientific data Able to bridge and balance medical insights with business solutions. Customer focus Team work Building Relationships Influence Flexible Thinking Governance experience Language English:  business level (preferred) ,  This role will require offsite attendance at meetings, conferences, exhibitions in Asia and significant international travel. The position description provides a summary of key features of the role. It may be varied as necessary by the Company from time to time. Anticipated up to 60% travel time   ",6000.0,9000.0,7500.0,1
Permanent,Technical Support Engineer,ADDVALUE INNOVATION PTE LTD,2 years  exp,Executive,Engineering,    ,3000.0,4000.0,3500.0,0
Permanent,Product Engineer,ADDVALUE INNOVATION PTE LTD,2 years  exp,Executive,Engineering,    ,3000.0,4000.0,3500.0,0
Permanent,Senior Securities Executor #149674,CREDIT SUISSE AG,5 years  exp,Senior Executive,"Banking , Finance","   Working in the execution hub in Singapore you will handle orders from internal and external clients across the bankâs various booking centers in Asia Pacific. Ensure efficient and timely management of orders, execution of transactions and reporting of trades in Equities, Fixed Income, Mutual Funds, Hedge Funds, Listed Options as well as structured products and OTC derivatives. Understand the overall best execution frameworks, which are applicable to above asset classes and rigorously adhere to the best execution commitments given to our clients and established standards. To contribute and continuously help to improve the relevant order and execution processes across the different product classes and client types. To liaise with external intermediaries for execution of orders, settlement of trades and building positive relationships; ,  To provide a high quality of service to clients (DAC) of the private bank in order to assist the RM team deliver the revenue targets in alignment with the business objectives. Know your clients, regularly interact with top internal and external clients to understand their requirements and needs in our services and provide relevant feedback to your management. To keep abreast with the relevant product knowledge, market intelligence and ensure that agreed service scope can be uphold. ,  Adhere to execution standards and arrangements in accordance with applicable policies and guidelines. Ensure that all compliance and legal guidelines are adhered to and mitigation strategies followed in case of mishaps. Maintain a symbiotic relationship with various business associates within PB APAC and external parties (brokers, counterparties, operations, IT, etc). Assume role of expert and provide expertise / support for projects or new initiatives. ,  You hold a Bachelorâs Degree. 5 to 7 yearsâ of equivalent work experience in Securities Execution â experience in OTC Derivatives Execution is a plus. Proficiency of the financial markets you will be actively trading in. Qualifications in CACS Paper 1 & 2, FMRP, CMFAS Module 1B, 6 and 6A will be required. Able to work during public holidays and rotating night shift. Possess good interpersonal and written and verbal communication skills and are meticulous and an excellent collaborator. Self-starter, with outstanding motivation and ability to work independently. Willing to contribute in improving the processes as well as order management infrastructure and providing an overall outstanding and more efficient value proposition towards our clients. You are ambitious, dedicated, hardworking and can work on own initiative whilst also working collaboratively and deliver on time with a high level of integrity, sense of urgency, attention to detail and quality standards.   ",7800.0,15000.0,11400.0,1
Permanent,IOT Testing Engineer,SPTEL PTE. LTD.,1 year  exp,Senior Executive,Information Technology,"   Responsible for the end-to-end testing activities of SPTel IOT-aaS platform (including CPE, Router, Switch, IOT sensors, cameras, customer devices, etc.) Carry out activities in the testing lifecycle including analyzing business and system requirements, test planning, test preparation, test execution and reporting. Design and develop test cases and procedures Create traceability for requirements, analyzing gaps and supports in closure of each gap Preparing test environments. Execute test procedures and automation test scripts. Log and track defects to closure Conduct test reviews with internal and external stakeholders including test reports presentation to stakeholders. Perform root cause analysis for production and user acceptance defects, addressing test gaps to ensure test efficiency. Assist in lab setup, customer demo and partner onboarding activities. ,  Diploma in Information Technology/Compute Science/Computer Engineering or equivalent.  Minimum 1-year experience in software/hardware testing with hands-on manual testing experience. Possess strong interest and self-motivation to carry out testing with the objective to contribute towards a better software/system/network. Good written and verbal communication skills in English. Able to work well both independently as well as in a team. Familiarity with the whole system/network development lifecycle from requirement, development, testing and deployment Good capability in designing/developing effective test cases based on requirements and creating traceability between requirements and test procedures. Experience in different test execution phases (Agile, System, Integration, and User Acceptance). Relevant experience and competence with the tolls used for test management, config management, test automation and defect tracking   ",3500.0,7000.0,5250.0,0
Permanent,LEAD DEVELOPER,MUN HEAN SINGAPORE PTE. LTD.,2 years  exp,Senior Executive,Information Technology,"   To lead the software design and code development project in building web-enabled IoT solution. To work with Project Sales team in formalizing functional specifications and translating into code build. On-site testing and QA process to resolve bugs. Project deployment and manage version releases ,  Experience in building complete full stack web-app solution. The preferred field of experience shall be web-enabled IoT technology. High proficiency in Javascript node.js and PHP code development. High proficiency in MySQL database query design. Proficiency in HTML/CSS layout design. Familiar in data protocol handling such as Modbus, SNMP, MQTT. Familiar in version and release control technology.   ",3500.0,4000.0,3750.0,0
Permanent,IT Engineer,AITECH ROBOTICS AND AUTOMATION PTE. LTD.,1 year  exp,Non-executive,Engineering,"   Design and develop software to have centralized robotic control across many different environments. Develop and improve algorithm to control multiple robots coordination with collision avoidance system. Develop user interfaces for to monitor and control robots and other supporting devices. Develop and support deployment of cloud based system solutions. Write test cases and create simulations for the main control architecture. Provide System maintenance support. Manage projects and supervise the project team. ,  Diploma/Degree in Computer Engineering, Information and Communication Technology, or Information Systems. Strong Computer Science Fundamental in Object-Orientated Programming (OOP), Service-Oriented Architecture (SOA), algorithm fundamentals, data structure and architecture. 1 to 2 years experience in application development with extensive experience programming in Java/Python/MQTT. Proficient in Linux, Microsoft NT server, windows Server 2003/2008, Web servers and database servers (PostgreSQL, MySQL, Oracle) Sound knowledge on Java based WEB development using Spring boot framework. Familiarity with Amazon web services (AWS) like EC2, S3, Load balancing and uato scaling. knowledge on use of IoT protocols like MQTT and Websocket to support communications. Familiarity with Rest Api and micro services development. Knowledge on Javascript canvas and data visualization frameworks like D3.js is a plus. Knowledge over machine learning lgorithms is a plus. Salary will be commensurate with experience   ",3000.0,4000.0,3500.0,0
Permanent,Research Fellow in Computer Architecture and Systems,NATIONAL UNIVERSITY OF SINGAPORE,1 year  exp,Professional,"Sciences , Laboratory , R&D","   Hardware and Systems Security Computer Architecture Energy Efficient Computation Simulation Methodologies (Cycle-level Microarchitecture Simulation) ,  A PhD degree in a relevant areaÍ¾ Software and/or hardware development experience (for example, C++, Verilog, HLS, Bluespec, Chisel, etc.); Experience in researchÍ¾ and Good publication record.   ",5500.0,8250.0,6875.0,2
Permanent,IT Senior Engineer,AITECH ROBOTICS AND AUTOMATION PTE. LTD.,3 years  exp,Senior Executive,Engineering,"   Design and develop software to have centralized robotic control across many different environments. Develop and improve algorithm to control multiple robots coordination with collision avoidance system. Develop user interfaces for to monitor and control robots and other supporting devices. Develop and support deployment of cloud based system solutions. Write test cases and create simulations for the main control architecture. Provide System maintenance support. Manage projects and supervise the project team. ,  Diploma/Degree in Computer Engineering, Information and Communication Technology, or Information Systems. Strong Computer Science Fundamental in Object-Orientated Programming (OOP),Service-Oriented Architecture (SOA), algorithm fundamentals, data structure and architecture. At least 3 years experience in application development with extensive experience programming in Java/Python/MQTT. Proficient in Linux, Microsoft NT server, Windows Server 2003/2008, Web servers and database servers (PostgreSQL, MySQL, Oracle) Sound knowledge on Java based WEB development using Spring boot framework. Familiarity with Amazon web services (AWS) like EC2, S3, Load balancing and uato scaling. knowledge on use of IoT protocols like MQTT and Websocket to support communications. Familiarity with Rest Api and micro services development. Knowledge on Javascript canvas and data visualization frameworks like D3.js is a plus. Knowledge over machine learning lgorithms is a plus. Salary will be commensurate with experience   ",5000.0,7000.0,6000.0,0
Permanent,Data Engineer,U3 INFOTECH PTE. LTD.,2 years  exp,Professional,Consulting,    ,5500.0,7500.0,6500.0,0
"Contract, Permanent",Research Assistant (Computer Science) R00001450,NANYANG TECHNOLOGICAL UNIVERSITY,1 year  exp,Professional,"Sciences , Laboratory , R&D","   Responsible for conducting research on home automation systems and model checking Responsible for conducting research on countermeasures against defects in home automation systems ,  Bachelorâs degree in Computer Science Expertise in software development and home automation systems Research experience in home automation systems, IoT security, end-user programming and related areas Excellent communication and writing skills Able to conduct research and write report independently and within teams   ",4000.0,5500.0,4750.0,2
Permanent,Mobile Developer (Android),STYL SOLUTIONS PTE. LTD.,3 years  exp,Professional,"Information Technology, Sciences , Laboratory , R&D","   Review of project specifications and requirements Develop and design mobile applications for Android platform Manage and support the entire application lifecycle (concept, design, test, release, documentation and support) Research and keep up-to-date on the latest technologies as assigned Work professionally with team members and/or clients to complete projects on time and solve issues when arise Train and guide new engineers and intern student ,  Bachelor degree in Computer Science, Information Technology or equivalent Min. 3 years of working experience in similar role  Good knowledge in software development process Excellent in Android programming  Prior experience in working with database and server communication Good knowledge/experience on network communication: HTTP/HTTPS, RESTful API, OAUTH2, Single sign-on,... Prior experience with working with phone peripherals, such as camera, bluetooth,... Good in UI/UX design Good communication skills; fluent in English is a must in order to work with clients and overseas team members Good knowledge on security concept: encryption, hashing, JWT, OWASP,...will be an added advantage Experience in cross-platform mobile app development tools will be a plus Self-driven and independent; able to work individually with clients  work team when required Comfortable to station off-site and travel to and fro clients  place and office when necessary   ",4000.0,5500.0,4750.0,3
Contract,Technical Architect,MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,10 years  exp,Senior Executive,Information Technology,"   Provide technical expertise to plan, analyze, define and support the delivery of functional and technical      capabilities for an application or suite of applications. Contribute to the continuous review and improvement process for existing infrastructure components. Participate in technical solution and design discussions, complete proof of concepts, and develop non-functional requirements. Contribute to creation and quality of deliverable. Build processes to ensure successful operations and management applications. Good to have experience with the design, build, implementation of automation tools. Help clients to identify, assess and solve complex business problems for areas of responsibilities, where analysis of situations or data requires an in-depth evaluation of variable factors Understand network and infrastructure design and build Provide solutions in specific domain areas (Cloud Native, API, Microservices, DevOps) within the Digital Architecture practice ,  Minimum of 10 years of experience in Digital Architecture domains â Integration, Cloud Native, API, Microservices, Security or DevOps automation Experience in SOA design and implementation and system integration using SOA Experience in Cloud â AWS, GCP or Azure Experience dealing with Mobility, IOT or frontend technologies Knowledge in large-scale complex system integration implementations Knowledge of emerging technologies/platforms in Mobility, Analytics, Cloud and Social with a strong self-initiative to keep up with Digital trends Communicates well. Strong presenter in delivering differentiated value through proposals and business development Experience in working in Agile and Continuous Integration/Continuous Delivery methodologies ,  Cloud Infrastructure Amazon Web Services DevOps Infrastructure Architecture and Design Cloud Computing Microservices BI Analytics Middleware   ",8500.0,13000.0,10750.0,0
"Contract, Permanent","Research Engineer (IIoT Embedded Firmware), I3",A*STAR RESEARCH ENTITIES,,Fresh/entry level,"Sciences , Laboratory , R&D","   Design and develop embedded firmware for sensor nodes Support hardware and software integration including investigating and debugging issues Implement efficient firmware code for low power MCU operation Work with RF engineer to ensure wireless data communication is reliable and accurate Develop, review and document software requirements, design and code Maintain code depository for ease of deployment to different projects BS/Eng, MS/Eng in Computer Science/Engineering, or related fields Experience in working with C in an embedded firmware development environment, eg mbedOS and IAR systems Skilled in developing and deploying UART, SPI and I2C drivers Able to write drivers for MCU features such as DMA, RTC, IRQs, etc Familiar with wireless protocols such as WiFi, BLE, LoRa Possess basic signal processing concepts and algorithms Able to implement real time operating systems (RTOS) Have basic understanding of electronic circuit implementation Worked with various ARM-based MCUs, such as STM and TI boards Candidate will be required to have strong critical thinking, problem solving, and excellent communication skills Entry level candidates with a track record of the above mentioned are encouraged to apply   ",3000.0,5500.0,4250.0,2
Permanent,Senior Automation Engineer,ZENTEK ENGINEERING PTE. LTD.,6 years  exp,Professional,"Consulting, Engineering, Healthcare , Pharmaceutical","   Good knowledge of GAMP lifecycle and quality management processes employed in the pharmaceutical and biotechnology sectors Experience implementing Emerson DeltaV automation solutions for clients in the Pharmaceutical and/or Biotechnology industries Experience with design, development and testing of DeltaV DCS Preparation of functional specification and design specification documentation, and testing of automation systems Configuration and programming experience â CMs, EMs, Unit Classes, Recipes, Controllers and Graphics Knowledge of virtualization is added advantage Experience in supporting client/sites for NC, CAPA, Root cause analysis and automation Change control management Good analytical & problem solving skills Excellent communication skills Must work well in a team environment Self-starter who can get the job done despite obstacles Requires a Bachelorâs degree or foreign equivalent in Chemical, Electrical or Bio-Process Engineering, or related field Minimum of 6-8 years of progressive experience as an Automation Engineer, DCS Software Engineer or related occupation   ",6000.0,8000.0,7000.0,3
Permanent,Validation Engineer ,AMARIS CONSULTING PTE. LTD.,3 years  exp,Professional,"Healthcare , Pharmaceutical","   Responsible for validation projects. Collaborate with other departments such as QA, QC, Manufacturing, safety and Bio-technologist department. Validation of all equipment used for in-house processes and manufacturing Assist in equipment, facilities, HVAC system, cleaning, process, analytical computation, and/or computer system validations. Raise, track and follow up on change control closure. Write, execute and review of validation protocols (Equipment/Automation). Corresponding with appropriate departments and vendors to address discrepancies in validation protocols. Tracking and resolution of outstanding events from protocols. ,  Experience in a GMP environment, ideally in a (bio)pharmaceutical environment Bachelorâs degree in Pharmaceuticals/Biotechnology/Pharmaceutical Sciences/Processing technology or relavant courses Experience in Equipment Validation and/or Process Validation and/or Cleaning Validation    ",3500.0,5500.0,4500.0,1
Permanent,QC Specialist -Biological,AMARIS CONSULTING PTE. LTD.,3 years  exp,Middle Management,"Healthcare , Pharmaceutical","   Writes required GMP documentations such as SOPs, protocols, reports, deviations, change controls, OOS Liaising with different departments to coordinate tasks and actions Review and approve routine laboratory results eg. environmental monitoring, endotoxin test, sterility by membrane filtration ,  Science degree in Life sciences, biotechnology, biochemistry, microbiology or equivalent with less than 2 years of experience in lab in a pharma industry Or Diploma holders with more than 5 years of experience in a lab in a pharma industry Have previous working experience in cGMP laboratory environment Have experience in coordinating with different teams or eager to do so Have experience in writing deviations Have hands-on experience on environmental monitoring ,  Knowledege in Endotoxin testing is a plus Knowledege in Elisa testing is a plus   ",3500.0,5500.0,4500.0,1
Permanent,"Senior Manager, Fire Protection & Life Safety â APEC	",STARWOOD ASIA PACIFIC HOTELS & RESORTS PTE. LTD.,5 years  exp,Manager,Engineering,    ,8000.0,11100.0,9550.0,0
Permanent,Lab Analyst /  Sampler (Pharmaceutical),MSD INTERNATIONAL GMBH (SINGAPORE BRANCH),,Fresh/entry level,"Healthcare , Pharmaceutical","   Perform routine/non-routine quality monitoring, sampling and testing of Utility systems inclusive of Purified water, Water for Injection, Pure steam. Compressed air and Nitrogen systems. Perform the routine/ non-routine environmental monitoring for all required plants, facilities, clean rooms, hygienic areas and labs, inclusive of particle monitoring test. Perform personnel qualification and re-qualification of clean room. Perform routine and Batch related Environmental monitoring in clean rooms and other production areas and laboratory. Provide testing support to plant validation activities. Ensure that tests as assigned are performed in a timely manner in accordance with standard operating procedures (SOPs) and current GMPs and GLP with necessary safety precaution. Perform sampling as per Standard Operating Procedures including relevant documentation work required for the inspection and the sampling such as sample label generation to perform SAP transaction Carry out equipment cleaning sample testing and facility cleaning activities samples. Ensure that tests as assigned are performed in a timely manner in accordance with standard operating procedures (SOPs) and current GMPs and GLP with necessary safety precaution. Perform sampling as per Standard Operating Procedures including relevant documentation work required for the inspection and the sampling such as sample label generation to perform SAP transaction Perform initial Quality Control check, Media Receival and regular QC checks on ready-to-use cultures and maintenance of cell cultures. Support microbial identification (Bacteria, mold and yeast) in water, environment and product samples. Maintain complete and accurate recording of all tests performed in the relevant log books and worksheet. Perform regular calibration / verification and maintenance of laboratory instruments as assigned. Perform periodic review of laboratory standard operating procedures. Ensure cleanliness and proper maintenance of various sampling tools and equipment. Assist in maintaining good housekeeping of the laboratories. Report any anomaly (e.g. Out of specifications, Out of alert and atypical events) encountered during the testing and calibration/verification of laboratory equipment. Ensures work and behave in accordance with Company SHE procedures, guidelines and expectations and publicly and privately demonstrate best SHE practice. Maintains positive working relationships among employees and fosters an environment where employee engagement, empowerment, teamwork and accountability are the cultural norm Any other duties as assigned by the Supervisor / Manager. ,  0 - 1 year experience in an analytical /microbiology laboratory is desired, preferably in the pharmaceutical industry. ,  Diploma in Chemistry/Microbiology / Biochemistry/Biotechnology Desire to work in rotational shifts. (12 hrs shift)   ",3000.0,3500.0,3250.0,1
Permanent,Research Fellow (Environmental Biotechnology / Engineering),NANYANG TECHNOLOGICAL UNIVERSITY,1 year  exp,Professional,"Sciences , Laboratory , R&D","   Develop a microalgal system for the conversion of wastewater and off-gas containing carbon dioxide into microalgae Develop an economically feasible source of polyunsaturated fatty acids ,  PhD in environmental biotechnology, engineering or any relevant field Competent in basic microbiology Background research/knowledge in microalgae Experience with photobioreactor systems essential Ability to design biological reactors for algal production Experience with a range of biotechnological applications including single cell protein desirable Able to handle microbes competently and safely up to Biosafety Level 2 Good aseptic technique Self-starter Ability to work with an interdisciplinary team Very good written, oral and interpersonal communication skills   ",4500.0,6750.0,5625.0,2
